frame,time,radius,x,y,vx,vy,ax,ay
36,633.9666666666667,1.4700291471296416,2.252758552893856,0.760116967110309,,,,
37,650.6500000000001,1.4700291471296416,2.246142736945835,0.8810841064814082,-0.39655240447679296,7.2507775846812486,,
38,667.3333333333334,1.4953744772525663,2.2439633335082427,1.0133476355620392,-0.13063357268284678,7.927883860976909,15.9391907169199,40.5857907869528
39,684.0166666666668,1.5207198073754913,2.2364531190596884,1.1464425246786951,-0.45016270420905186,7.977715631367958,-19.152595296275962,2.986919304158765
40,700.7,1.5207198073754913,2.2314451062391756,1.293097064858964,-0.3001805886421253,8.790481928887269,8.989936997018601,48.71726059056826
41,717.3833333333333,1.5207198073754913,2.2256991953187706,1.445940976732459,-0.3444102449793215,9.161473239170558,-2.6511282519797987,22.23724137562178
42,734.0666666666667,1.5207198073754913,2.2177421683589955,1.6092996787033884,-0.47694467291358894,9.791730387867867,-7.944121554501517,37.77765127056783
43,750.75,1.546065137498416,2.2088221611745187,1.784288139441558,-0.5346657653033082,10.488818825464742,-3.4598057376455227,41.78352273307956
44,767.4333333333334,1.5207198073754913,2.2101551217532895,1.9618114168006537,0.07989773698926197,10.640755885660049,36.83697316438969,9.107116495223147
45,784.1166666666667,1.5207198073754913,2.196368390413129,2.1553980293510806,-0.8263775029067264,11.603593159865783,-54.32219220155791,57.71252392841581
46,800.8000000000001,1.546065137498416,2.1902589447894227,2.3497233134794913,-0.3662005368854912,11.64786917852607,27.583034926347665,2.6539072124048366
47,817.4833333333333,1.5967557977442657,2.192696947735817,2.553632764647489,0.14613404274092365,12.222344725354537,30.70936541217281,34.434098710997105
48,834.1666666666667,1.546065137498416,2.1800500652774257,2.7652445106569195,-0.7580548926108708,12.684020739825968,-54.197138982125345,27.672887980305447
49,850.85,1.546065137498416,2.1716637579765186,2.990483393693501,-0.5026757622921396,13.500832150044898,15.307440378745174,48.95972488824773
50,867.5333333333334,1.546065137498416,2.158727465798655,3.222054226218292,-0.775402128543265,13.880369581905502,-16.347234740327135,22.749496415220893
51,884.2166666666668,1.546065137498416,2.1528037838300755,3.4622212364329883,-0.3550658522625067,14.395624987893827,25.194981595250155,30.884439919380032
52,900.9000000000001,1.5207198073754913,2.140167472238943,3.7096566202794325,-0.7574212741937613,14.831291739047655,-24.117208107767585,26.113891178051734
53,917.5833333333334,1.546065137498416,2.1349767896756724,3.9608505920015684,-0.31112982397226463,15.056581721606593,26.75073627701287,13.50389505847781
54,934.2666666666667,1.5207198073754913,2.1237274532167447,4.227389853419508,-0.6742859016340285,15.976379305770656,-21.767597062643258,55.13272232751648
55,950.95,1.571410467621341,2.1127417438742184,4.495171578479439,-0.6584840764751002,16.050852650944833,0.9471623471885031,4.4639367736769024
56,967.6333333333333,1.571410467621341,2.10412429553678,4.77233559279691,-0.5165303698764282,16.613227631416933,8.50871368223811,33.70879003828782
57,984.3166666666667,1.546065137498416,2.0910958305529377,5.061608664472712,-0.7809269720584802,17.339045255292756,-15.847948182740321,43.50555188066856
58,1001.0000000000001,1.546065137498416,2.0820774627377445,5.356715823571421,-0.5405615074041836,17.688740805117362,14.407520358898841,20.96077221725902
59,1017.6833333333333,1.571410467621341,2.0701380549076216,5.658942075030097,-0.7156488209863965,18.11545962789286,-10.494744070862014,25.577551814715452
60,1034.3666666666666,1.571410467621341,2.06247623875301,5.967769188527014,-0.45924971955713967,18.51111569412094,15.36857750824721,23.715648325359393
61,1051.05,1.6221011278671906,2.0467246152328076,6.287210999708265,-0.9441532579541881,19.147361309565394,-29.065147156666136,38.136600326340826
62,1067.7333333333333,1.571410467621341,2.0424111857390277,6.6087948295526555,-0.2585472224043878,19.27575403662676,41.09526686612175,7.6958677559260895
